Date,Expiry,Strike,Type,Symbol,Open,High,Low,Close,Volume,OI,Change in OI,Underlying Value
26-Feb-2026,30-Mar-2026,5900.0,PE,AMBER,0,0,0,32.75,0,200,0,7942.5
26-Feb-2026,30-Mar-2026,6800.0,PE,AMBER,0,0,0,67,0,700,0,7942.5
26-Feb-2026,30-Mar-2026,7100.0,PE,AMBER,0,0,0,140,0,200,0,7942.5
26-Feb-2026,30-Mar-2026,5500.0,PE,AMBER,7,7.5,6,7.05,1000,1300,400,7942.5
26-Feb-2026,30-Mar-2026,5800.0,PE,AMBER,0,0,0,11,0,500,0,7942.5
26-Feb-2026,30-Mar-2026,6200.0,PE,AMBER,14.95,14.95,14.55,14.95,500,700,400,7942.5
26-Feb-2026,30-Mar-2026,5400.0,PE,AMBER,0,0,0,7.4,0,2000,0,7942.5
26-Feb-2026,30-Mar-2026,260.0,CE,ANGELONE,7.05,8.5,3.9,5.3,8152500,2042500,2042500,246.5
26-Feb-2026,30-Mar-2026,300.0,CE,ANGELONE,3,4,0.4,0.5,2305000,657500,657500,246.5
26-Feb-2026,30-Mar-2026,265.0,CE,ANGELONE,5.5,6.45,2.9,3.9,2240000,630000,630000,246.5
26-Feb-2026,30-Mar-2026,280.0,CE,ANGELONE,2.85,2.9,1.15,1.55,4635000,1677500,1677500,246.5
26-Feb-2026,30-Mar-2026,290.0,CE,ANGELONE,2.25,2.25,0.6,0.9,1310000,612500,612500,246.5
26-Feb-2026,30-Mar-2026,295.0,CE,ANGELONE,1.3,1.45,0.5,0.7,155000,95000,95000,246.5
26-Feb-2026,30-Mar-2026,275.0,CE,ANGELONE,3.15,3.75,1.5,2.05,950000,525000,525000,246.5
26-Feb-2026,30-Mar-2026,270.0,CE,ANGELONE,4.45,4.95,2.1,2.9,6145000,2392500,2392500,246.5
26-Feb-2026,30-Mar-2026,320.0,CE,ANGELONE,0.95,0.95,0.15,0.2,647500,312500,312500,246.5
26-Feb-2026,30-Mar-2026,310.0,CE,ANGELONE,0.95,0.95,0.25,0.3,560000,190000,190000,246.5
26-Feb-2026,30-Mar-2026,220.0,PE,ANGELONE,9.95,9.95,1.15,2.6,1637500,1532500,1532500,246.5
26-Feb-2026,30-Mar-2026,230.0,PE,ANGELONE,3.05,6.2,3,4.6,1715000,475000,475000,246.5
26-Feb-2026,30-Mar-2026,200.0,PE,ANGELONE,0.7,1.05,0.5,0.85,402500,300000,300000,246.5
26-Feb-2026,30-Mar-2026,210.0,PE,ANGELONE,1.7,1.95,0.85,1.45,1190000,560000,560000,246.5
26-Feb-2026,30-Mar-2026,205.0,PE,ANGELONE,1.05,1.4,0.55,1.1,382500,97500,97500,246.5
26-Feb-2026,30-Mar-2026,190.0,PE,ANGELONE,0.3,0.55,0.25,0.55,555000,370000,370000,246.5
26-Feb-2026,30-Mar-2026,195.0,PE,ANGELONE,0.6,0.75,0.6,0.65,42500,17500,17500,246.5
26-Feb-2026,30-Mar-2026,215.0,PE,ANGELONE,0,0,0,15.3,0,72500,72500,246.5
26-Feb-2026,30-Mar-2026,225.0,PE,ANGELONE,2.3,4.8,2.3,3.4,377500,55000,55000,246.5
